Applicable Material,Brand Contact,Base,Brand,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Mounting,Packing Type,Power,Price,Room,Scent,Series,Shape,SKU,Style,Thickness,UPC,Warranty,Weight,Width,Product Type
Laminates,800-793-3523,cabinet,Microwaves,0.57 l,,Microwaves,Piedra,12x16 Faux Silk,Meets or exceeds ANSI/BIFMA Standards and ISTA Performance Standards,Aluminum (gauge Unspecified),Manual Lo (1-9) Hi,Seattle,3.8 cm,14.4 cm,Fungus,4000530691156,,2016,Orange,0.2633 cu. m.,4.50 cm,58 cm,DIN 472,Bamboo Fiber,ADV-TVKG-369,Wall,ToGo Pack,80 watt,$49.95,Bedroom,Lemon,Swinger Loop,Half-Round,PT/CF/5882/811,Yanagiba,1.016 mil,024147232537,,0.74 g,1.516 cm,Hydrometer
Metal,800-321-9647,Open,Countertop Planetary Mixers,0.59 l,,Countertop Planetary Mixers,Kult,2-in-1 Multi-Plate Red,SCS Indoor Advantage Gold Certified,Steel Blades,Electronic / Manual,USA,21.59 cm,15 cm,Germs,4004633234746,,October 16,Old English Brass,0.2662 cu. m.,4.57 cm,16.5 cm,Metric - DIN 439,Steel(hook),EAG-DF2472-A,Over Cubicle,Water-Soluble Liquid Packet�,880 watt,,Living room,Cinnamon Lavender,Amalfi,Domed Square,HRR2905-2,Squeeze Handle,1.020 mil,050946915043,,0.75 g,1.526 cm,Shelf Clip
Plastic,800-848-4901,Space Saver Oven,Entertainment,0.6 l,,Entertainment,Silk,Black/White,Conforms to ASTM D 4247 Standards,Rubber Blade W/wood Handle,Intelligent Electronic Control,PL,33 cm,15.2 cm,Grease,4000530648655,,2017,Taupe Epoxy,0.2676 cu. m.,4.60 cm,32 cm,,Plastic(body),ELK-WT30X96-BS,Countertop,Roll,900 watt,,Office,Mountain Peaks,C5� 9 Series,Pod,PTC/CF/3385/901,Dome Top,1.050 mil,716298019609,,0.77 g,1.535 cm,Ceiling Lights
Sealed Cement,877-620-3822,(2) standard ovens,Flowers & Ornamental,0.62 l,,Flowers & Ornamental,PermaDur Premium,Off-White Color,NSF/USDA Classification B1,Formed,Manual,CA,19.7 cm,15.3 cm,Grime,4004633208143,,September 21,Mirror Tough Glass,0.2684 cu. m.,4.60 cm,13.8 cm,,Heat and corrosion resisting steel,JOH-OS01SA,Wall,Squeeze Bottle,950 watt,,Living room,Neutral,,Teacup & Saucer,PTC/CF/1746/009,Bellman / Hang Bar,1.100 mil,820103233309,,0.8 g,1.551 cm,Sideboards & Servers
Sealed Stone,800-328-6276,(1) space saver oven,Fridges,0.64 l,,Fridges,Saphir,Orange Pizzazz,GREENGUARD Certified,Pvc Panel on HDF core,Mechanical Dial,BR,90 cm,15.4 cm,Mildew,3700590364366,,2017,Copper,0.2687 cu. m.,4.70 cm,185 cm,,LLDPE,CIG-40334,Desktop Easel Back,Tablet,960 watt,,Dining room,Mountain Rain,,Rectangle,PTC/CF6456/721,Safety/Classroom,1.150 mil,740016866886,,0.85 g,1.555 cm,Stool - ellipse - swivel
Vinyl,800-346-1633,(2) convection ovens,Fans,0.65 l,,Fans,Buffalo,Wine Red,OSHA Compliant,Aluminum Ext & Int,manual,DK,49 cm,15.5 cm,Mold,4004633232704,,April 03,Textured with Aggregate Panels,0.2690 cu. m.,4.76 cm,180 cm,,Micro Suede,EAG-CP18-S,Portable Pedestal,Aerosol Can,Electric,,Office,Almond,,Oven Gloves,PT/CF/3105/316,Cabinet Base With Hinged Doors,1.200 mil,635409294288,,0.9 g,1.575 cm,Filing Cabinets
Chrome,800-225-5005,48 Wide Cabinet,Countertop Refrigerator,0.68 l,,Countertop Refrigerator,ROMY,White/Gray,California Proposition 65 Compliant,Silverplated,Slider,CO,45 cm,15.7 cm,Organic Matter,4004633260202,,2017,Vinyl Coated,0.2707 cu. m.,4.80 cm,11 cm,,Stainless steel,EAG-RM1448W,Brackets,Oval Pans,Manual,,Dining room,Gentle Breeze/Linen Fresh,,Heart,KS2831BK,Rectangular Bath,1.220 mil,777269497703,,0.93 g,1.581 cm,Waste Bin
Fiberglass,847-482-2000,2 Space Saver Ovens,Bedding,0.7 l,,Bedding,Sensero,Chili pepper,TSCA Regulations,Copper,1-Speed,KR,3.5 cm,152.4 cm,Viruses,4006932613062,,November 05,Hardboard,0.2718 cu. m.,4.90 cm,10.4 cm,,Paper,CAM-ESK1436V580,Specify,Coreless Roll,One 9V (included) AC power adapter (included),,Living room,Free & Clear/Unscented,,Egg Cup,PT/CF/5816/638,Manual,1.250 mil,736211522399,,0.95 g,1.591 cm,Dispenser
Glass,800-404-6843,legs not included,Large Capacity Kettles,0.71 l,,Large Capacity Kettles,Inspiration,Alabaster,VOC (Volatile Organic Compound) Limits,Vinyl,Rotary,VN,51 cm,16 cm,Water-Based Soil,4000530649089,,2016,Silverplated,0.2803 cu. m.,5.00 cm,19.8 cm,,Vinyl Coated with Wooden Fronts,EAG-TB3660S,Free Standing,Nylon soft compression case,powered,,Garden,Spring Meadow�,,Glass Dome,CF/PTC/4252/537,Vintage,1.295 mil,857390003889,,0.99 g,1.614 cm,Ready To Wear
Glazed Ceramic,800-621-1261,(1) standard oven,Heated Cabinets,0.74 l,,Heated Cabinets,Gourmet,Crimson,Meets or exceeds ANSI/BIFMA Standards,Good - 16 ga. SS Top,Electric,HK,52 cm,16.5 cm,Grease,4000530687036,,February 20,Mesh,0.2832 cu. m.,5.08 cm,45.8 cm,,Bamboo,ADV-KMS-308,Floor Stand,RTD Bottle,1,,Kitchen,Pink Orchid & Sunrise,,Storage (Set of 3),PTC/CF6456/605,Baroque,1.300 mil,636047268426,,1.00 g,1.624 cm,Bin
Linoleum,800-950-3275,(1) convection oven,Art,0.75 l,,Art,PermaDur Line,Black Leather,Compliant with all various state phosphate regulations,Galvanized Legs,Toggle or Paddle,,1.9 cm,16.7 cm,Soil,4000530322241,,2017,Powder Coated,0.2860 cu. m.,5.17 cm,195 cm,,Copper(Head),ACC-E62083D170-SGL,Wall Mounted,Can,000 watt,,Dining room,Country Garden,,Chaton Roses,NOCCARDSYV3S,Pattern,1.350 mil,765293863274,,1.02 g,1.654 cm,Office Suites
Plastic,1-800-494-4855,Open With Undershelf,Flatware Cylinders & Bins,0.77 l,,Flatware Cylinders & Bins,Lyric,Faux Silk,Compliant with TSCA regulations,Gold Plated,Rotary Electromechanical,,39 cm,16.9 cm,Oil,4000530337856,,October 18,Gold Plated,0.2900 cu. m.,5.30 cm,50.4 cm,,Stainless Steel(Body),ADV-ODS-15-96R,Stand Alone,Cone,1,,Dining room,Fresh & Clean,,Plate Cake,ATC/3300/GREEN-RED-100,Pan,1.379 mil,086279022936,,1.03 g,1.673 cm,THROW
Porcelain,732-294-5561,Tray Slides,Lamps,0.8 l,,Lamps,Domus,Red Magenta & Teal Blue,Complies with California Proposition 65,M & T Jointed,Electric,,2.3 cm,167.64 cm,Water-Based Spill,4000530669759,,2017,Grey Cerused,0.3115 cu. m.,5.33 cm,14 cm,,Silverplate,PSF-LS303636SQ,pedestal mounted base,Spray Bottle,200 watt,,Kitchen,Free & Clear,,cone,CF/PTC/5777/707,Quick Release,1.400 mil,648018029769,,1.04 g,1.722 cm,Adhesive Hook
Fabric,714-765-5555,Standard Oven & Cabinet,Specialty Drink Dispensers,0.83 l,,Specialty Drink Dispensers,Zwerge,Brown / Desert Brown,Complies with the VOC (Volatile Organic Compound) limits,Veneered on hardwood core,Rotary,,4.8 cm,17 cm,Bacteria,4000530675354,,January 07,Camo,0.3143,5.40 cm,22.3 cm,,Mild Steel,TUX-TRE-105,Wall Mount,Pack,1,,Office,Clean & Fresh,,1/2 Circle,HP-624P,Hi-Ball,1.500 mil,024147250258,,1.05 g,1.732 cm,Toiletries
Food Contact Equipment/Surfaces,800-633-5463,Table,Building Lots,0.85 l,,Building Lots,KULT X,Grass Green,including California,Steel W/non-stick Coating,thermostat & timer,,41.7 cm,17.3 cm,Dust,4000530668233,,2017,Polymer,,5.40 cm,13.5 cm,,Poly-Coated Paper,ELK-WT24X96-BGX,Table,Bottle of Concentrate,400 watt,,Living room,Hawaii Exotic Papaya & Hibiscus Flower,,Oval,PTC/CF6471/119,Peppermill / Salt Shaker,1.524 mil,047708706513,,1.06 g,1.772 cm,Glass Thermometer
Brass,800-626-5940,Trash Receptical,Griddles,0.89 l,,Griddles,Corio,Copper,Fully registered with the Federal EPA and each of the 50 State EPA agencies (and the District of Columbia),Polymer,Rotary Control,,154 cm,17.7 cm,Fungus,4006932670157,,December 19,Dark Antique,,5.49 cm,29.3 cm,,Feather,NEM-6110A-ICL-220,Wall,Refill Pad,1,,Dining room,Cranberry,,Bear,PT/CF/5801/906,Dipper,1.550 mil,578485412415,,1.07 g,1.811 cm,Office Desks
Ceramic,800-343-9329,Quad Leg,Building Supplies,0.92 l,,Building Supplies,Vignola,Faux Bamboo,NSF Category D1,Oak Plank,Lighted Control Knob,,8.89 cm,17.8 cm,Germs,4006932647777,,2017,Cranberry,,5.50 cm,300 cm,,Wood,VER-SAU-23-SO-SB,Wall Mounting,Spray Bottles and Cartridges,640 watt,,Hall dentre,Cucumber & Watermelon,,Bullet,PT/CF/5809/906,Baggy,1.588 mil,783931635915,,1.08 g,1.821 cm,Console & Sofa Tables
Copper,800-223-4293,Warming Drawers,RVs,0.95 l,,RVs,Touch,Light Green,Third-party tested by SEI to comply with standards defined on label in MSA helmet,Rubber,Touch keypad,,42 cm,18 cm,Grime,4242002857336,,March 22,Black Tough Glass,,5.56 cm,45 cm,,Plast,INT-5AQ537G3,Desk,Glass Sphere,1,,Bedroom,Clean Scent,,Corner,PTC/CF/8228/047,Enclosed Base,1.650 mil,726630597481,,1.1 g,1.850 cm,Chair Mat
Formica,800-428-4328,54 Wide Cabinet,Convection Ovens,0.98 l,,Convection Ovens,Spitzenklasse Plus,Transparent / White,Cradle to Cradle Certified� Gold,Steel Construction,Knobs/Electronic0,,50 cm,18.28 cm,Mildew,4000530667984,,2017,Plastic & Stainless Steel,,5.59 cm,190 cm,,AISI 304,TRA-UR30WT-35,Wall,Bowl,650 watt,,Bathroom,Herbal Pine,,Triangular,CC/CF/SEASIDE/MINERAL/F0407/03,With Undershelf,1.700 mil,879447000962,,1.11 g,1.870 cm,TV Stands
Glass,800-873-1313,2 Convection Ovens,Cocktail Units & Ice Bins,0.99 l,,Cocktail Units & Ice Bins,Globe,Transparent,cUL Listed,25 Gauge,Digital and Knobs,,175 cm,18.29 cm,Mold,4000530668042,,June 19,aluminum,,5.70 cm,41 cm,,Poly Lumber,KRO-KR18-C30R,Built-in/drop-in,Packets,1,,Living room,Spring & Renewal�,,Arched Frame-type,Standus:006 Purple-Bown,Designer Rail,1.750 mil,016017041318,,1.12 g,1.882 cm,Roller & Fabric
Plastic,818-549-6000,pedestal,Work Tables,1 l,,Work Tables,Storio,white,UL Listed,Plastic & Stainless Steel,Press Buttons,,2 cm,18.4 cm,Organic Matter,4006932613116,,2017,Stainless Steel + Glass,,5.72 cm,1200 cm,,PP,ALF-6060-27,Desktop,Cartridge,725 watt,,Bedroom,Hawaii Exotic Papaya and Hibiscus Flower,,Rectangular with contoured side,21.15.1521,Pasta Fork,1.800 mil,848703006116,,1.16 g,1.890 cm,
Steel,800-789-0786,(1) standard oven,Trash Cans,1.01 l,,Trash Cans,Artistry,stainless steel,FDA Approved Material,Mirror,Electronic,,4 cm,18.5 cm,Viruses,4000530693235,,March 10,Chrome,,5.84 cm,18.5 cm,,Metal,EAG-DTF3072-E,Stand/wall Mount,Drum,2,,Hall dentre,Lime,,Picnic Rug,PTC/CF6253/196,Middle Finger,1.829 mil,086279104724,,1.24 g,1.919 cm,
Tile,866-639-2326,open frame,Undercounter Refrigeration,1.02 l,,Undercounter Refrigeration,Sicomatic classic,Dolce Vito Ivory,SEI Certified to Meet ANSI Z358.1 Requirements,38,Rotary,,24 cm,18.54 cm,Water-Based Soil,4006932611303,,2017,Satin,,5.87 cm,50 cm,,Aluminum Alloy,JOH-CHYKCT2-8432-V,Suspended/ceiling Hung,Flat POP-UP* Box,250 watt,,Living room,Sweet Citrus,,Bath Salts,SMD/CF/5905TAP/COR,Chait,1.900 mil,719918442047,,1.25 g,1.969 cm,
Vinyl,800-752-0900,2 Cabinets,Carpets,1.04 l,,Carpets,Stratic,Camo,ISO Compliant,Chrome Plated Steel,7 TFT LCD Touch Screen Display,,7 cm,18.6 cm,Bacteria,4000530668165,,November 04,Aluminized Steel,,6.00 cm,47 cm,,Stretch Lycra,BON-5688HR,Floor Model,Refill Bag,3,,Office,Cucumber,,Rivoli,AZ00-28656x18773,Glass,1.905 mil,601950243860,,1.26 g,1.980 cm,
Marble Floors,800-282-2886,24 Wide Cabinet,Farming,1.06 l,,Farming,Fresh Bowls,Orange-blue,TAA Compliant,Chrome,digital controls,,12 cm,180.34 cm,Germs,4004633286608,,2017,natural,,6.03 cm,10 cm,,ABS,PIP-DME-3-PTS-BH,Velcro,Stick Up,100 watt,,Office,Melon,,Mug Half Pint (Set of 2),CF/PTC/4252/147,Ice Frosted,10.414 mil,879447002195,,1.3 g,2 cm,
No-Wax Floors,952-984-828,Swing Doors,Upright freezer,1.09 l,,Upright freezer,SilverStone Ceramic Cxi,As pictures shown,Complies with all of the various state phosphate regulations,Plastic Laminate Finish W/vinyl T-mold,Knob,,177.5 cm,182.88 cm,Grime,4004633234708,,April 05,Black Epoxy,,6.10 cm,244 cm,,DuPont Nylon,GET-SN-108-PB,Velcro Backed Magnet,Case,4,,Living room,Floral,,Full Corner W/clipped Rear,MPG550-TM,Wide Rim,101.600 mil,636047260024,,1.32 g,2.008 cm,
Tile Floors,800-331-7632,Tri Leg,Comics,1.12 l,,Comics,SilverStone Bakeware,White Toothpaste Dispenser,Complies with California Proposition 65,wood,Touch Sensor,,50 cm,19 cm,Soil,4006932769479,,2017,Beige Suede,,6.10 cm,200 cm,,304 Stainless Steel,EAG-UT3048B-2X,Torsion Action Pole,Trigger Bottle,300 watt,,Kitchen,Sweet Lavender Days,,Hob Cover,Standus:004 Brown-Yellow,Corner Bumpers,11.125 mil,078484099155,,1.34 g,2.016 cm,
Wood,800-283-1707,Pedestal Base,Equipment Stands,1.16 l,,Equipment Stands,Nobile,Platinum Metallic,Complies with the VOC (Volatile Organic Compound) limits,Aluminized Steel,Touch Control Panel,,13 cm,19.05 cm,Bacteria,4004633272878,,March 31,Desert Sand Cerakote,,6.20 cm,15 cm,,PLA,COO-50316-K,Magnetic,Bag,4,,Living room,Lemon Fresh,,Baker Star Medium,30020594,Freestanding,12.000 mil,810705132551,,1.35 g,2.018 cm,
China,800-241-4990,cabinet base,Espresso Machines,1.18 l,,Espresso Machines,Knackig Frisch,Black Green,including California,chrome plated steel,Touch Screen,,50 cm,19.1 cm,Fungus,4000530684363,,2017,Gray,,6.35 cm,27.5 cm,,Silargan,EAG-T3072STEM-BS,With Adhesive,Snap N Dose,400 watt,,Hall dentre,Country Delight�,,Mug Cocoa,PTC/CF6465/509,Dump Sink W/blender Recessed Step,12.700 mil,741393422962,,1.360776 g,2.067 cm,
Glass,800-989-3544,Mobile,Bun Warmers & Bun Boxes,1.19 l,,Bun Warmers & Bun Boxes,V350,Pearl White,Complies with TSCA regulations,Stainless Steel Top,programmable,,62 cm,19.8 cm,Germs,4006932637235,,September 09,Corrosion Resistant Steel Exterior,,6.50 cm,8.5 cm,,Lace (100% Polyester),MRS-STD284-2XU-SS,Wall Mountable,Bag In Box,48,,Bedroom,Lemon & Lime Blossom,,Bowl Serving Medium,CC/CF/DITSY-RSE/ROSE/F0368/02,Curved Glass,14.300 mil,095285411573,,1.4 g,2.116 cm,
Plastic,800-234-0998,Optional,Outdoor Furniture,1.21 l,,Outdoor Furniture,CeraDur Line,motley,EPA DfE Safer Choice Label,Front And Ends,Temperature Control,,40 cm,19.81 cm,Mildew,4000530629579,,2017,Metal,,6.60 cm,41.5 cm,,Without Catheter,ADV-TVSS-3612,Range Mount,Poly Wrap,470 watt,,Office,Superberry,,Storage 2 Pint,antiqchic-queenquilt26001,Classic Jigger,15.240 mil,856182113645,,1.42 g,2.126 cm,
Plastic/Safe for Use on All Screens,800-553-5022,open stand with shelf,Drapes,1.25 l,,Drapes,Denver,green,Conforms to ASTM F1670 Standards,Galv. Le,Press,,10.4 cm,19.9 cm,Mold,4000530564177,,July 22,White & Chrome,,6.83 cm,300 cm,,Food-grade Plastic,CAM-CRP12910184,Top Mount W/flange,Flat Box,5,,Living room,Mango,,Canoe,PT/CF/5938/117,Flat Top With Open Side,15.875 mil,887653243417,,1.43 g,2.165 cm,
Acrylic,800-724-6527,Stainless Steel,Bars,1.26 l,,Bars,Fondue set,stainless steel,EcoLogo Certified,Paper,Advanced Touchtronic,,48 cm,2 cm,Odors,4000530650276,,2017,Powder Coated Texture,,6.86 cm,10.16 cm,,Aviation Aluminum Rod,EAG-DSP-1024,Table,Aerosol,800 watt,,Garden,Sparkling Citrus,,Five-Fingers,CF/PTC/5749/419,Mobile,15.875 mil,015896000140,,1.45 g,2.205 cm,
Brass,800-323-0749,(1) convection oven,Sales,1.27 l,,Sales,Servieridee,yellow,NFSI Certified,ABS Construction,solid state with timer,,46 cm,2.2 cm,Fingerprint,4000530674357,,July 09,Pink,,6.91 cm,500 cm,,304 stainless steel,CAR-607126,Waiters,Stick,,,Dining room,Hawaiian Aloha,,Free-form,PTC/CF6472/002,Chimney0,16.000 mil,885233948417,,1.46 g,2.236 cm,
Ceramic,800-845-3495,electric,Vacuums,1.3 l,,Vacuums,Torino,green,NSF D2 Certified0,Rotor Type,Rotary,,91 cm,2.3 cm,Food Stain,4006932637419,,2017,Lacquer,,6.99 cm,2.54 cm,,Body: Stainless steel 1.4305,ELE-269751,Microsuction Synthetic Rubber,Syringe,,,Bedroom,Mandarin Orange & Fresh Lemon,,Tubular,PTC/CF6456/501,Deck Style,17.780 mil,737989662331,,1.49 g,2.244 cm,
Chrome,914-253-2000,Open Cabinet W/fixed Shelves,Cleaning/Junk Rem.,1.33 l,,Cleaning/Junk Rem.,Speed Profi,Ebony and Spice Wood|Black,Compliant with TSCA regulations,Bamboo,Electronic,,5.3 cm,2.4 cm,Grease,4006932647937,,July 20,Painted,,7.00 cm,2.70 cm,,Locking pin: Stainless steel 1.4305,JOH-L050-OS,Undercounter,Plastic Overwrap,,,Kitchen,Wintergreen,,T,CF/STRNBRG/ORGANZA/CREAM-04,Romantic,177.800 mil,840595101719,,1.5 g,2.264 cm,
Copper,404-652-4000 As of 8.6.09,1 Standard Oven,Memorabilia,1.36 l,,Memorabilia,Dschungelbuch,Granite Green,Complies with California Proposition 65,Porcelain,Rotary Electromechanical Controls,,47 cm,2.5 cm,Soap Scum,4000530654533,,2017,White Powder Coating,,7.14 cm,3.81 cm,,nickel-plated,EAG-L54-4BL,Over-the-Door/Over-the-Panel,POP-UP* Box,,,Living room,Blue Sparkle,,Book,PTC/CF/5717/335,Pizza Peel,18.000 mil,736211519191,,1.51 g,2.313 cm,
Corian,800-292-2808,open leg,Rifle Bipods,1.39 l,,Rifle Bipods,Series V,Black Matte,Complies with the VOC (Volatile Organic Compound) limits,33,programmable timer,,5 cm,20 cm,Germicidal,4006932670126,,November 04,Wood,,7.30 cm,4.45 cm,,Knob: Stainless steel 1.4305 Not removable,HOB-HL120-2STD,Pedestal Mounted Base,Dispenser Box,,,Office,Rain Clean,,Triangle,749261,Liquid Waste Chute W/blender Recessed Step,19.050 mil,838485021193,,1.52 g,2.323 cm,
Fiberglass,615-225-9800 or 615-208-9697,Convection & Space Saver Ovens,Curtain 80 cm.,1.42 l,,Curtain 80 cm.,Provence Plus,Basil / Maple,including California,Aluminum Stainless Steel,Switch,,2.8 cm,20.1 cm,Body Oils,4000530583420,,2016,Black Finish,,7.38 cm,5.08 cm,,Plastic & Glass,BER-FCB3108E-2-3,Pressure Sensitive Adhesive,Carton,,,Living room,Rejuvenating Morning Linen,,Unique,PT/CF/5787/370,Foot Pedal Operated Drop Lid,2.000 mil,806222209722,,1.54 g,2.338 cm,
Grout,866-348-5661,tri-leg,Reach In Refrigerator,1.45 l,,Reach In Refrigerator,Various,Tan and White,Fully registered with the Federal EPA and each of the 50 State EPA agencies (and the District of Columbia),French dovetail drawers,digital,,25 cm,20.2 cm,Dust,4000530493705,,March 07,laminate & stainless steel,,7.40 cm,5.40 cm,,Stalinite & Iron,ALE-477414,Adhesive Back,Refill,,,Office,Bouquet,,Bell,PS3909NB,Disposable,2.159 mil,798837994462,,1.6 g,2.362 cm,
Porcelain,800-445-8293,Open Cabinet W/adjustable Shelves,Engineering Design,1.48 l,,Engineering Design,Polo,White & Silver,Meets AOAC Germicidal Spray Product Test standards for hospital aerosol disinfectants,Richlite,Digital Touch,,109 cm,20.3 cm,Fingerprints,4004633287278,,2017,Walnut,,7.46 cm,5.72 cm,,.120 Thick Clear Polar Material,CAM-CSURS44427480,,Trigger Spray Bottle,,,Bedroom,Fragrance-Free,,Lobster,CC/CF/DOTTY/BLUE/F0063/08,Mugs & Cups,2.200 mil,812743022764,,1.63 g,2.365 cm,
Stainless Steel,800-258-3425,open base stand,Picture holder,1.5 l,,Picture holder,KAISERflex Red,Designer Pattern,Cedar Grove Composting Approved,China,Electronic,,37 cm,20.4 cm,Food Stains,4000530524317,,April 30,Zinc,,7.50 cm,6.03 cm,,Polyester 16% & Acrylic 84%,MRS-EP284-2YH-PW,,Canister,,,Hall dentre,Clean N Fresh,,Saucer Large,fabric-trnsfr-env-3275-black,Tongs,2.209 mil,704940162414,,1.65 g,2.370 cm,
Tile,800-328-2990,Standard Oven,Reach In Freezer,1.51 l,,Reach In Freezer,Sicomatic econtrol,Granite White,California Proposition 65 Compliant,Metal,Push Button,,45 cm,20.5 cm,Grease,4000530687593,,2017,Brass Finish,,7.62 cm,6.35 cm,,Ceramics,JOH-CHYRS36-V,,Shaker Can,,,Dining room,Scentillating Citrus,,Slipper,AD6300OKA23HL,Pebbled,2.286 mil,807731201306,,1.7 g,2.411 cm,
Ceramic,856-342-4800,Open Legs With Crossrails,Plates & Figurines,1.6 l,,Plates & Figurines,CeraDur Plus,Clear Coat,NSF Category Code C1,Stainless Steel Top,LED,,22.86 cm,20.7 cm,Grime,4211129072106,,October 21,Silver Finish,,7.78 cm,6.99 cm,,Poly/cotton Blend,ACY-873-3-10,,Roll-On Bottle,,,Bedroom,Lemon Lime,,Leaf,AD6300OKHLMPK,Louvered / Embossed,2.381 mil,736983941183,,1.75 g,2.461 cm,
Chrome,800-426-4303,countertop,Little curtain,1.63 l,,Little curtain,Vulcano,Khaki and Navy,TSCA Regulations,Front,Electro-Mechanical,,0.64 cm,20.9 cm,Smoke,4004633264484,,2017,Chrome Plated,,7.80 cm,7.19 cm,,Heat-treated steel,MRS-HV284-2EFN-PW,,Shaker,,,Kitchen,Citrus Mint,,Octagon,KS2831CH,Dome,2.400 mil,024147262572,,1.8 g,2.510 cm,
Fiberglass,800-648-9093,casters,Vertical Cabinet (Fridge),1.65 l,,Vertical Cabinet (Fridge),Alteo,Medium Oak,VOC (Volatile Organic Compound) Limits,End And Legs,Electronic Touch Slider,,1.27 cm,21 cm,Smudges,8056306002196,,November 29,Finebrush Stainless Steel,,7.87 cm,7.62 cm,,varnished,JOH-CHYKCT2-12142-V,,Tub,,,Hall dentre,Clary Sage & Citrus,,Mug,CF/PTC/4252/314,Stationary,2.413 mil,095285408979,,1.814368 g,2.520 cm,
Vinyl,800-580-1310,Unheated,Freezers,1.66 l,,Freezers,Ranch,Bamboo,ADA Compliant,Silverplate,computer with timer,,1.52 cm,21.1 cm,Tape Residue,4000530337863,,2016,Epoxy Coated,,7.94 cm,7.87 cm,,Glass,NEM-55650-CS,,Squirt Bottle,,,Living room,Fruity Cucumber,,Teacup Large,PTC/CF/3092/240,Scale Inhibitor,2.500 mil,840469012332,,1.83 g,2.559 cm,
Appliances,616-772-7277,(1) cabinet,Combo Proofer/ Heated Cabinet,1.69 l,,Combo Proofer/ Heated Cabinet,All Season Cookie Cutters,nature,California State Fire Marshal Approved for Fire Safety (CSFM),Heavy Duty Wire Mat,Touch keypad (membrane),,1.59 cm,21.2 cm,Water-Based Soil,4006932654843,,November 02,Hard Enamel,,7.98 cm,8.26 cm,,Canvas + Iron,ALL-16-3227,,Kit,,,Office,Hawaiian Blossoms & Papaya,,Bamboo,PTC/CF/5889/912,Oyster Fork,2.550 mil,712820735078,,1.84 g,2.610 cm,
Glass,800-331-1657,1 Standard Oven & Cabinet,Pancake,1.7 l,,Pancake,Wickie,steel and orange,OSHA Compliant,SS Front & Sides,Jog Wheel,,1.75 cm,21.5 cm,Liquid,4000530466174,,2017,Polished Stainless,,8.00 cm,8.89 cm,,Spunbond,ELK-SL3C18X18-R-24,,Cup,,,Kitchen,Lavender,,Plate 6 and a Half Inch,PTC/CF/5887/939,Double Sided,2.590 mil,043662659391,,1.85 g,2.657 cm,
