Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 1.80 oz / 51.03 g,,,,8718722431829,,,,K555LA-XX2612T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2g,,,,4713392229909,,,,B-FTP602O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82oz / 335.07g,,,,0757120854746,,,,90-MXGYQ0-A0UAYZ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12g / 0.42oz,,,,0200001113932,,,,Fatal1ty Z170 Gaming K6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.2 g (one fan),,,,4014619280421,,,,Z170 GAMING K6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132Kg,,,,4015867122372,,,,KD-55XD8599,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94 lb (2.24 kg),,,,4716659839392,,,,KD55XD8599BAEP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 g,,,,4002888427159,,,,0A89442,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66 lbs/2.57 kg,,,,4027927775442,,,,SME.NCM750GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02 oz (0.57 g),,,,0885909224449,,,,A5S-00605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35 oz / 265 g,,,,8718868341617,,,,S26361-F3828-L180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29lb/1.95kg,,,,8716502001842,,,,PT253E-0HM00CDU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22 oz / 148 g,,,,4713392776915,,,,DK-1511-005/BLACK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 g / 0.28 oz,,,,0889349375341,,,,FT15TMB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63oz / 18g,,,,4712900375343,,,,AH101-D0C0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 lb / 50 g,,,,0889488274499,,,,VD.R05EE.003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69oz / 133g,,,,0027242854208,,,,HOIPP-NAP-RD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 lb (1.36kg),,,,8716065254341,,,,60*60*10_1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43g/1.52oz,,,,4002888412490,,,,T253L5120GMC101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.01 lbs,,,,5054484319337,,,,MR.JH311.001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 kg 0.6 lbs,,,,5054533319332,,,,RL3502,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10oz / 570g,,,,0829160568584,,,,B-FTP503O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98oz / 368g,,,,0829160568744,,,,90-NIL1B2000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4 oz / 438.0 g,,,,4053162222373,,,,80QH00A2MH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6 kg,,,,8291605685842,,,,DELL-120TLC-NB23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.94oz / 367g,,,,5711045930386,,,,LSATARND6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1 oz / 88 g,,,,7636490042874,,,,PWR-C49M-1000AC=,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51oz / 383g,,,,4713392351129,,,,IK8551,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26Kg,,,,5704327467601,,,,DT101G2/128GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Kg,,,,4716659828082,,,,20FB003PMB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345 g,,,,0757120816089,,,,CW8064701474405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51 oz / 28 g,,,,7571208160894,,,,FB6410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482g / 17oz,,,,0735858184748,,,,20FQ003YMB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12 oz / 457 g,,,,3307215713365,,,,SS-250SU Bronze,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 lbs,,,,3307215713426,,,,SS-250SU-F0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,8716406049902,,,,ST4SAUS-B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00 g,,,,5032037039963,,,,90PD01N2-M10310,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53Kg,,,,0650590198429,,,,ELEC-HEADP-0112,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.77 lbs,,,,4712900353488,,,,N6PATCH10GR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4oz / 550g,,,,4015867170731,,,,A3L980CP05MRDHS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.99 oz (907.18 g),,,,0848354003526,,,,FIB851003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7 oz / 48.2 g,,,,4711148593526,,,,NAC0017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95 lb/2.70 kg,,,,4711148593588,,,,80L000KDNX,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36lb/5.61kg (Without stand. Exact weight depends on configuration),,,,5053973133508,,,,0016H8-SKU1505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42oz / 97g,,,,5053973171678,,,,660666-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3 lb (1.9 kg),,,,5712505087244,,,,130.XPB20BLACK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 lb. (0.05 Kg),,,,5397063945139,,,,S14A-000-24803,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48oz / 410.6g,,,,4016032292142,,,,EX3300-24P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175g,,,,0757120815488,,,,CAB-ETH-S-RJ45-15=,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46oz / 183g,,,,5704327251521,,,,P73-06230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 lbs.,,,,0757120835769,,,,KVR400X64C3A/1G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15 oz / 968 g,,,,5051964754428,,,,KVR400X64C3A/1GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6Kg,,,,7571208357690,,,,KVR400X64C3A/1GBK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28 kg,,,,4712900632408,,,,JN9V4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39oz / 11g,,,,6957531042747,,,,K8P39A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67oz / 189g,,,,5704327251347,,,,DTR30/64GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6 lbs,,,,4053162008595,,,,MMG2467/2GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4lbs,,,,5704327174608,,,,725941-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 oz,,,,0885909721894,,,,2PCM-03T8398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88 oz / 280 g,,,,2002784630006,,,,492234-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306 g,,,,5056006114895,,,,D64GX4M8B2800C14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2 lb / 3.7 kg,,,,0190198175557,,,,2231400-R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 oz,,,,0190198175649,,,,14130297,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57 lb/1.62 kg,,,,0834619006883,,,,MQ4U2ZM/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.19oz / 1111g,,,,0883585536795,,,,CST-104S-CEL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72 oz / 474 g,,,,8718309029821,,,,DASK3MKPROCLI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84 oz / 109 g,,,,8716309058391,,,,DASK3PROMS1SI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.08 oz (399.16 g),,,,4040849932694,,,,EA3005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22 lb/553.38 g,,,,0757120834519,,,,SS-853 PRO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63 oz / 188 g,,,,5051964738794,,,,SS-853Pro,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6 lbs,,,,7571208345192,,,,TS-853S Pro,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07 lb/2.30 kg,,,,0065030871020,,,,NX.VBPEH.006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289g / 10.19oz,,,,0882780517486,,,,495912-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7 oz / 445 g,,,,0882780517639,,,,15216-LC-SC-5=,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.892 lb / 0.860 kg,,,,0672042117819,,,,TL2CSAK2G2M1X-0480,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05 lbs,,,,0065030867658,,,,EV2780-BK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89 oz / 252 g,,,,8716065307207,,,,80VB00ASMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98 lb/2.26 kg,,,,0760557796114,,,,80QR0003GE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,7605577961148,,,,IBM029,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~2.7kg (w/ Li-polymer Battery) ~2.8kg (w/ODD and Li-polymer Battery),,,,6943279410450,,,,CM8063401286503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 oz (90.71 g),,,,0672042111879,,,,SD8GBPER80-EF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0 lb / 0.5 kg,,,,5412810250783,,,,AS102P-256G-RGY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490 g,,,,8716065206890,,,,CM8062101102002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5lb/2.49kg (Starting weight),,,,0889296052777,,,,SXZ2T-EC21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 0.25 lb / 0.11 kg,,,,0672042106615,,,,ZA0C0080DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61oz / 159g,,,,0740617217476,,,,2BX44EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,0887111769879,,,,SCSO-1000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.36oz / 322g,,,,0887111770011,,,,UTP6005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.04 lbs,,,,0887111770028,,,,C31C516007E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.50 lbs.,,,,0887111770035,,,,FS-200RB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9 lbs,,,,0887111770042,,,,IK8903,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 oz,,,,0887111770059,,,,TS32GDP200A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 kg,,,,0887111770066,,,,S14A-000-13205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 oz,,,,0887111770073,,,,826999-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66oz / 359g,,,,0887111770110,,,,5E10100653,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,4053162945272,,,,PP12-1.5M/G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25 kg,,,,4054842166208,,,,THN-U202W0080E4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.82 kg,,,,5712505289273,,,,TM15132GC01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.02 lbs/17.70 kg,,,,8871117698792,,,,T9U28AA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.24 oz / 517 g,,,,5054484282648,,,,M-MC-0920-731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310 g,,,,5705965900246,,,,IS1701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102 kg,,,,4717964700537,,,,ST3500312CS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyboard: 0.6 lb (255.0 g) Combined: 1.3 lb (580.0 g),,,,8719675009141,,,,SDU16GHIGPER80KIT-EF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17 oz / 260 g,,,,4711552410112,,,,IDLB-QUDL40-ULTRA-OPP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lbs,,,,8716065298017,,,,MMH0832/1024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 oz,,,,0672042103010,,,,90PT0171-M02370,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,0672042022427,,,,20FB002UMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76 oz,,,,0190781438854,,,,GO-RT-AC750,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0 oz (255.1 g),,,,5056006104353,,,,GO-RT-AC750/E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7 lb (1.2 kg),,,,8714909022972,,,,MBD-X9SCL-F-O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,8717825944861,,,,G7Z56A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4lb/1.09kg,,,,4047999330509,,,,E197833,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5 g / 4.32 oz,,,,4713883340694,,,,RL9903,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 kg,,,,4712900764284,,,,DT.B8DEH.017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85 lb (2.20 kg),,,,4712900632118,,,,459487-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63 / 358g,,,,4057185568005,,,,20H5007HMB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0191628471553,,,,UM.QB6EE.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,,5711783345251,,,,UM.QB6EE.A01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09kg,,,,6949495704212,,,,EKMMD8GL105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.93 oz / 706.70 g,,,,0796435115067,,,,826985-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight: 1.59 oz / 45 g,,,,0888228285160,,,,LCS-CSVER.AE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37oz/294g,,,,5033588030287,,,,LCSCSVER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.79 lbs/9.88 kg,,,,8595611700095,,,,LCSCSVER.AE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4 oz / 10 g,,,,4713392454219,,,,90NL0072-M06880,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.51 lbs,,,,0190576221067,,,,IB 5807,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45 oz / 353g,,,,4712900154726,,,,IB5807,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7 lb / 4.4kg,,,,0619659057855,,,,AL-9E2000-03I-DM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1 kg,,,,5052179786167,,,,T1P42AW#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13 lb (965 g),,,,5052217227683,,,,T1P42AWABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Column Weight: 0.6 lb (0.27 kg) Base Weight: 4 lb (1.81 kg),,,,6196590578556,,,,630-06,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9 lbs,,,,8716065276350,,,,1DL84EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43oz / 239g,,,,4713392523489,,,,1DL84EA#UUG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67 lb / 748.5 g,,,,8716065319279,,,,2PCM-0A65729,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49oz / 354g,,,,5705965531778,,,,95221-GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6 lbs,,,,0757120824732,,,,MMD1841/2048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 oz,,,,8718722158238,,,,L5H19EA#UUG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9 in,,,,4948570114122,,,,MMI9882/16GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44 lb (0.2kg),,,,8716065276459,,,,PSCSPE-003004DU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46 oz,,,,4713392900938,,,,KD911A4#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146 g,,,,8033830111792,,,,KD911A4#ABU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100g,,,,5711045030079,,,,KD911AT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.76,,,,0191376191079,,,,KD911AT#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38 lb/625.95 g,,,,8099990006262,,,,LP2475w,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66 oz / 359 g,,,,8024221017854,,,,NX.GKKEH.006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1 lb/1.9 kg,,,,8718722127234,,,,G0H96AA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467 lb / 0.212 kg,,,,0887770963489,,,,G0H96AA#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8 g,,,,4043718075959,,,,G0H96AAABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.26 oz / 376 g,,,,0662724828065,,,,UTP635WBOOTED,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0 lb / 3.6 kg,,,,0929477690791,,,,240B4LPYCS/00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54oz / 157g,,,,6627248280656,,,,FFI1095K,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74 oz / 06 g,,,,4710423773073,,,,IB1303,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.83oz / 477g,,,,8718722245860,,,,UTP610BOOTED,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82oz / 250g,,,,0765441012813,,,,AG-HP5G23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 lbs,,,,0889894523341,,,,MR33-HW,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05kg,,,,5711045251269,,,,JG688A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3 lbs.,,,,6943051205809,,,,DT.Z0KEH.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87 oz / 38 g,,,,4719692700025,,,,80SD0040MB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48Kg,,,,5055288429369,,,,C1060-1SDN-N5GNX,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56 oz,,,,3391891961479,,,,40-15-4020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38 kg,,,,5055288430556,,,,FB103BK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.32oz / 406g,,,,8716065128062,,,,FB103BK-EU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01 oz / 283.78 g,,,,5705965900123,,,,HA523ZM/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21oz / 595.4g,,,,4026203342934,,,,4D937205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 kg,,,,6954836030141,,,,YIN065,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66 oz / 47 g,,,,0757120831440,,,,PSD38G16002H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62 lb/3.00 kg (Weight varies by configuration and components),,,,7571208314402,,,,00090973,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 oz,,,,0675901247887,,,,EP580H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42oz/352g,,,,8719675005853,,,,CCP0.50BK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 oz / 9.0 g,,,,4719072440152,,,,DTL/16GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96 oz (27.21 g),,,,0190576312703,,,,UK707E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50 lb (1.13 kg),,,,0190780092804,,,,NS411K,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578g / 20.39oz,,,,4716659931119,,,,IM8601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81oz / 420g,,,,4051528152753,,,,EPH-USB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54,,,,4056572741854,,,,BX80538410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3lbs,,,,0766623313599,,,,GC-R131-NB-V2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68oz / 388g,,,,7666233135990,,,,OH/RV131/NB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1 lb (0.5 kg),,,,8716065285000,,,,ACR-XP0755,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0 lbs / 6.8 kg,,,,4250078163244,,,,RL7505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81oz / 193g,,,,4711132868906,,,,IB3315,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61oz,,,,8718734330875,,,,11.04.5564,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,8715946531144,,,,BX80646G1850,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000 g,,,,8718469091119,,,,20JY0003UK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062 lb (0.028 kg),,,,0675901376266,,,,205020-05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140 g,,,,3546430132159,,,,80X400AXMB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86oz / 81g,,,,0884420056560,,,,PS571E-066033BT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905g / 31.92oz,,,,0884420056713,,,,PS562E-0F203RBT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28oz / 8g,,,,8717534016491,,,,M280CS2030-240-RB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17kg,,,,4719512042472,,,,TS-853 PRO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 lbs/14.51 kg,,,,0889899863022,,,,TS-853 Pro (2GB RAM),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37oz / 294g,,,,5412810228638,,,,TS-853 Pro-2GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8 lb (23.5 g),,,,8716065313772,,,,TS-853-PRO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.98oz / 453g,,,,8716065229271,,,,TS-853Pro,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 Kg,,,,5055288411807,,,,OWC1333D3W8M16K,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94 oz / 140 g,,,,5054484158592,,,,VDC-HHPX8-320G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 lbs,,,,5704327606888,,,,637351-L21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46 oz / 98 g,,,,4047999330141,,,,SSDSC2BF240A401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.46oz / 495g,,,,0051122275227,,,,9K00.004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74 lb/3.51 kg,,,,0102646144558,,,,FB8720,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11lbs,,,,0511222752276,,,,JPV0040,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7 lbs / 1.2 kg,,,,0672042041398,,,,507340-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05 oz / 370 g,,,,7331990041951,,,,JC154A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.47 oz / 467 g,,,,8718722246263,,,,V7J-00392,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 oz / 112 g,,,,0889894634146,,,,KD-75X8505C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12 oz / 287 g,,,,0889894634238,,,,KD75X8505CBAEP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6 lb (1.18 kg),,,,0889894634498,,,,qM-TRIFC-LEN-TAB310-DRKBL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5 lb (5.7kg),,,,5704327247081,,,,S14A-000-24404,
